DATE,START_TIME,END_TIME,HB_HOUSTON
1/1/2023,0:00,1:00,$10.37 
1/1/2023,1:00,2:00,$9.85 
1/1/2023,2:00,3:00,$8.58 
1/1/2023,3:00,4:00,$8.18 
1/1/2023,4:00,5:00,$8.33 
1/1/2023,5:00,6:00,$8.58 
1/1/2023,6:00,7:00,$13.85 
1/1/2023,7:00,8:00,$14.44 
1/1/2023,8:00,9:00,$15.07 
1/1/2023,9:00,10:00,$15.03 
1/1/2023,10:00,11:00,$17.28 
1/1/2023,11:00,12:00,$17.88 
1/1/2023,12:00,13:00,$17.57 
1/1/2023,13:00,14:00,$18.23 
1/1/2023,14:00,15:00,$19.50 
1/1/2023,15:00,16:00,$17.19 
1/1/2023,16:00,17:00,$25.03 
1/1/2023,17:00,18:00,$33.17 
1/1/2023,18:00,19:00,$23.90 
1/1/2023,19:00,20:00,$18.36 
1/1/2023,20:00,21:00,$16.09 
1/1/2023,21:00,22:00,$16.74 
1/1/2023,22:00,23:00,$13.78 
1/1/2023,23:00,0:00,$9.65 
1/2/2023,0:00,1:00,$9.31 
1/2/2023,1:00,2:00,$4.98 
1/2/2023,2:00,3:00,$3.83 
1/2/2023,3:00,4:00,$3.71 
1/2/2023,4:00,5:00,$7.35 
1/2/2023,5:00,6:00,$8.85 
1/2/2023,6:00,7:00,$12.96 
1/2/2023,7:00,8:00,$15.96 
1/2/2023,8:00,9:00,$17.79 
1/2/2023,9:00,10:00,$18.72 
1/2/2023,10:00,11:00,$18.71 
1/2/2023,11:00,12:00,$19.43 
1/2/2023,12:00,13:00,$18.55 
1/2/2023,13:00,14:00,$14.85 
1/2/2023,14:00,15:00,$12.89 
1/2/2023,15:00,16:00,$14.09 
1/2/2023,16:00,17:00,$16.96 
1/2/2023,17:00,18:00,$33.52 
1/2/2023,18:00,19:00,$24.63 
1/2/2023,19:00,20:00,$18.41 
1/2/2023,20:00,21:00,$17.26 
1/2/2023,21:00,22:00,$16.83 
1/2/2023,22:00,23:00,$15.08 
1/2/2023,23:00,0:00,$9.94 
1/3/2023,0:00,1:00,$11.52 
1/3/2023,1:00,2:00,$8.55 
1/3/2023,2:00,3:00,$4.54 
1/3/2023,3:00,4:00,$9.48 
1/3/2023,4:00,5:00,$11.41 
1/3/2023,5:00,6:00,$16.33 
1/3/2023,6:00,7:00,$20.62 
1/3/2023,7:00,8:00,$28.31 
1/3/2023,8:00,9:00,$20.55 
1/3/2023,9:00,10:00,$16.44 
1/3/2023,10:00,11:00,$14.41 
1/3/2023,11:00,12:00,$13.77 
1/3/2023,12:00,13:00,$14.99 
1/3/2023,13:00,14:00,$15.65 
1/3/2023,14:00,15:00,$15.93 
1/3/2023,15:00,16:00,$17.12 
1/3/2023,16:00,17:00,$19.35 
1/3/2023,17:00,18:00,$52.57 
1/3/2023,18:00,19:00,$40.51 
1/3/2023,19:00,20:00,$31.62 
1/3/2023,20:00,21:00,$29.56 
1/3/2023,21:00,22:00,$22.84 
1/3/2023,22:00,23:00,$18.78 
1/3/2023,23:00,0:00,$17.51 
1/4/2023,0:00,1:00,$15.41 
1/4/2023,1:00,2:00,$10.75 
1/4/2023,2:00,3:00,$10.04 
1/4/2023,3:00,4:00,$10.05 
1/4/2023,4:00,5:00,$12.16 
1/4/2023,5:00,6:00,$17.78 
1/4/2023,6:00,7:00,$28.21 
1/4/2023,7:00,8:00,$33.98 
1/4/2023,8:00,9:00,$22.32 
1/4/2023,9:00,10:00,$19.34 
1/4/2023,10:00,11:00,$17.37 
1/4/2023,11:00,12:00,$16.58 
1/4/2023,12:00,13:00,$16.67 
1/4/2023,13:00,14:00,$16.60 
1/4/2023,14:00,15:00,$17.56 
1/4/2023,15:00,16:00,$18.93 
1/4/2023,16:00,17:00,$28.63 
1/4/2023,17:00,18:00,$40.39 
1/4/2023,18:00,19:00,$41.55 
1/4/2023,19:00,20:00,$34.99 
1/4/2023,20:00,21:00,$33.51 
1/4/2023,21:00,22:00,$29.52 
1/4/2023,22:00,23:00,$25.90 
1/4/2023,23:00,0:00,$24.34 
1/5/2023,0:00,1:00,$27.45 
1/5/2023,1:00,2:00,$24.22 
1/5/2023,2:00,3:00,$24.59 
1/5/2023,3:00,4:00,$26.71 
1/5/2023,4:00,5:00,$27.73 
1/5/2023,5:00,6:00,$34.27 
1/5/2023,6:00,7:00,$73.84 
1/5/2023,7:00,8:00,$81.18 
1/5/2023,8:00,9:00,$34.90 
1/5/2023,9:00,10:00,$27.69 
1/5/2023,10:00,11:00,$27.10 
1/5/2023,11:00,12:00,$25.33 
1/5/2023,12:00,13:00,$24.80 
1/5/2023,13:00,14:00,$22.10 
1/5/2023,14:00,15:00,$21.36 
