DATE,START_TIME,END_TIME,HB_HOUSTON
1-Jan-23,0:00,1:00,$10.37 
1-Jan-23,1:00,2:00,$9.85 
1-Jan-23,2:00,3:00,$8.58 
1-Jan-23,3:00,4:00,$8.18 
1-Jan-23,4:00,5:00,$8.33 
1-Jan-23,5:00,6:00,$8.58 
1-Jan-23,6:00,7:00,$13.85 
1-Jan-23,7:00,8:00,$14.44 
1-Jan-23,8:00,9:00,$15.07 
1-Jan-23,9:00,10:00,$15.03 
1-Jan-23,10:00,11:00,$17.28 
1-Jan-23,11:00,12:00,$17.88 
1-Jan-23,12:00,13:00,$17.57 
1-Jan-23,13:00,14:00,$18.23 
1-Jan-23,14:00,15:00,$19.50 
1-Jan-23,15:00,16:00,$17.19 
1-Jan-23,16:00,17:00,$25.03 
1-Jan-23,17:00,18:00,$33.17 
1-Jan-23,18:00,19:00,$23.90 
1-Jan-23,19:00,20:00,$18.36 
1-Jan-23,20:00,21:00,$16.09 
1-Jan-23,21:00,22:00,$16.74 
1-Jan-23,22:00,23:00,$13.78 
1-Jan-23,23:00,0:00,$9.65 
2-Jan-23,0:00,1:00,$9.31 
2-Jan-23,1:00,2:00,$4.98 
2-Jan-23,2:00,3:00,$3.83 
2-Jan-23,3:00,4:00,$3.71 
2-Jan-23,4:00,5:00,$7.35 
2-Jan-23,5:00,6:00,$8.85 
2-Jan-23,6:00,7:00,$12.96 
2-Jan-23,7:00,8:00,$15.96 
2-Jan-23,8:00,9:00,$17.79 
2-Jan-23,9:00,10:00,$18.72 
2-Jan-23,10:00,11:00,$18.71 
2-Jan-23,11:00,12:00,$19.43 
2-Jan-23,12:00,13:00,$18.55 
2-Jan-23,13:00,14:00,$14.85 
2-Jan-23,14:00,15:00,$12.89 
2-Jan-23,15:00,16:00,$14.09 
2-Jan-23,16:00,17:00,$16.96 
2-Jan-23,17:00,18:00,$33.52 
2-Jan-23,18:00,19:00,$24.63 
2-Jan-23,19:00,20:00,$18.41 
2-Jan-23,20:00,21:00,$17.26 
2-Jan-23,21:00,22:00,$16.83 
2-Jan-23,22:00,23:00,$15.08 
2-Jan-23,23:00,0:00,$9.94 
3-Jan-23,0:00,1:00,$11.52 
3-Jan-23,1:00,2:00,$8.55 
3-Jan-23,2:00,3:00,$4.54 
3-Jan-23,3:00,4:00,$9.48 
3-Jan-23,4:00,5:00,$11.41 
3-Jan-23,5:00,6:00,$16.33 
3-Jan-23,6:00,7:00,$20.62 
3-Jan-23,7:00,8:00,$28.31 
3-Jan-23,8:00,9:00,$20.55 
3-Jan-23,9:00,10:00,$16.44 
3-Jan-23,10:00,11:00,$14.41 
3-Jan-23,11:00,12:00,$13.77 
3-Jan-23,12:00,13:00,$14.99 
3-Jan-23,13:00,14:00,$15.65 
3-Jan-23,14:00,15:00,$15.93 
3-Jan-23,15:00,16:00,$17.12 
3-Jan-23,16:00,17:00,$19.35 
3-Jan-23,17:00,18:00,$52.57 
3-Jan-23,18:00,19:00,$40.51 
3-Jan-23,19:00,20:00,$31.62 
3-Jan-23,20:00,21:00,$29.56 
3-Jan-23,21:00,22:00,$22.84 
3-Jan-23,22:00,23:00,$18.78 
3-Jan-23,23:00,0:00,$17.51 
4-Jan-23,0:00,1:00,$15.41 
4-Jan-23,1:00,2:00,$10.75 
4-Jan-23,2:00,3:00,$10.04 
4-Jan-23,3:00,4:00,$10.05 
4-Jan-23,4:00,5:00,$12.16 
4-Jan-23,5:00,6:00,$17.78 
4-Jan-23,6:00,7:00,$28.21 
4-Jan-23,7:00,8:00,$33.98 
4-Jan-23,8:00,9:00,$22.32 
4-Jan-23,9:00,10:00,$19.34 
4-Jan-23,10:00,11:00,$17.37 
4-Jan-23,11:00,12:00,$16.58 
4-Jan-23,12:00,13:00,$16.67 
4-Jan-23,13:00,14:00,$16.60 
4-Jan-23,14:00,15:00,$17.56 
4-Jan-23,15:00,16:00,$18.93 
4-Jan-23,16:00,17:00,$28.63 
4-Jan-23,17:00,18:00,$40.39 
4-Jan-23,18:00,19:00,$41.55 
4-Jan-23,19:00,20:00,$34.99 
4-Jan-23,20:00,21:00,$33.51 
4-Jan-23,21:00,22:00,$29.52 
4-Jan-23,22:00,23:00,$25.90 
4-Jan-23,23:00,0:00,$24.34 
